Hereditary chronic pancreatitis,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Pyridoxine-dependent epilepsy,{'Deletion': '5.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '86.0%'}
Ependymal tumor,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Gamma-sarcoglycan-related  limb-girdle muscular dystrophy R5,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Beta-thalassemia,{'Deletion': '23.0%', 'Duplication': '8.0%', 'Indel': '2.0%', 'Insertion': '11.0%', 'Single nucleotide': '56.00000000000001%'}
MELAS,{'Deletion': '1.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '95.0%'}
Amyotrophic lateral sclerosis,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Crouzon disease,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Laminin subunit alpha 2-related congenital muscular dystrophy,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Progressive myoclonic epilepsy type 1,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '90.0%'}
Malignant peritoneal mesothelioma,{'Deletion': '32.0%', 'Duplication': '5.0%', 'Indel': '11.0%', 'Insertion': '21.0%', 'Single nucleotide': '32.0%'}
Argininosuccinic aciduria,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Silver-Russell syndrome,{'Deletion': '33.0%', 'Duplication': '13.0%', 'Indel': '3.0%', 'Insertion': '13.0%', 'Single nucleotide': '37.0%'}
Porphyria,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '84.0%'}
Netherton syndrome,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Acrodermatitis enteropathica,{'Deletion': '3.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Autoimmune polyendocrinopathy type 1,{'Deletion': '8.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '81.0%'}
Propionic acidemia,{'Deletion': '10.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '80.0%'}
Nephrogenic diabetes insipidus,{'Deletion': '8.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '88.0%'}
Mixed connective tissue disease,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '95.0%'}
Usher syndrome type 3,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Hydroa vacciniforme,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Diffuse large B-cell lymphoma,{'Deletion': '0.0%', 'Duplication': '8.0%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '85.0%'}
Acute myelomonocytic leukemia,{'Deletion': '6.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '94.0%'}
Retinitis punctata albescens,{'Deletion': '30.0%', 'Duplication': '5.0%', 'Indel': '5.0%', 'Insertion': '10.0%', 'Single nucleotide': '50.0%'}
Incessant infant ventricular tachycardia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Primary central nervous system lymphoma,{'Deletion': '11.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '78.0%'}
ATTRV30M amyloidosis,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Hodgkin lymphoma,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Gelatinous drop-like corneal dystrophy,{'Deletion': '20.0%', 'Duplication': '0.0%', 'Indel': '10.0%', 'Insertion': '10.0%', 'Single nucleotide': '60.0%'}
Congenital glaucoma,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Hypoplastic right heart syndrome,{'Deletion': '13.0%', 'Duplication': '7.000000000000001%', 'Indel': '0.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '73.0%'}
Autosomal dominant spastic paraplegia type 3,{'Deletion': '2.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
Neuroendocrine tumor of stomach,{'Deletion': '12.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '88.0%'}
Whooping cough,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Sandhoff disease,{'Deletion': '16.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '72.0%'}
Glycogen storage disease due to acid maltase deficiency,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Krabbe disease,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '81.0%'}
Oculocerebrorenal syndrome of Lowe,{'Deletion': '14.000000000000002%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '82.0%'}
Cornelia de Lange syndrome,{'Deletion': '13.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '75.0%'}
Malignant tumor of fallopian tubes,{'Deletion': '12.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '80.0%'}
Systemic mastocytosis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Congenital dyserythropoietic anemia,{'Deletion': '4.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Glutaryl-CoA dehydrogenase deficiency,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Pseudohypoparathyroidism,{'Deletion': '11.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '85.0%'}
Mucopolysaccharidosis type 2,{'Deletion': '9.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '85.0%'}
Dystrophic epidermolysis bullosa,{'Deletion': '8.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Adenocarcinoma of the cervix uteri,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Blackfan-Diamond anemia,{'Deletion': '11.0%', 'Duplication': '7.000000000000001%', 'Indel': '1.0%', 'Insertion': '8.0%', 'Single nucleotide': '74.0%'}
Phenylketonuria,{'Deletion': '10.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '84.0%'}
Beta-ketothiolase deficiency,{'Deletion': '9.0%', 'Duplication': '6.0%', 'Indel': '2.0%', 'Insertion': '9.0%', 'Single nucleotide': '74.0%'}
Idiopathic achalasia,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Beh�et disease,{'Deletion': '9.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '82.0%'}
Dermatomyositis,{'Deletion': '14.000000000000002%', 'Duplication': '6.0%', 'Indel': '1.0%', 'Insertion': '10.0%', 'Single nucleotide': '69.0%'}
Sporadic Creutzfeldt-Jakob disease,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Nasopharyngeal carcinoma,{'Deletion': '12.0%', 'Duplication': '28.000000000000004%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '56.00000000000001%'}
Clear cell adenocarcinoma of the ovary,{'Deletion': '1.0%', 'Duplication': '0.0%', 'Indel': '1.0%', 'Insertion': '1.0%', 'Single nucleotide': '98.0%'}
Cystinosis,{'Deletion': '12.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '77.0%'}
Adenocarcinoma of the liver and intrahepatic biliary tract,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Friedreich ataxia,{'Deletion': '12.0%', 'Duplication': '13.0%', 'Indel': '3.0%', 'Insertion': '5.0%', 'Single nucleotide': '68.0%'}
Lafora disease,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '88.0%'}
Metachromatic leukodystrophy,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '86.0%'}
X-linked hypohidrotic ectodermal dysplasia,{'Deletion': '20.0%', 'Duplication': '6.0%', 'Indel': '1.0%', 'Insertion': '8.0%', 'Single nucleotide': '65.0%'}
Lesch-Nyhan syndrome,{'Deletion': '26.0%', 'Duplication': '5.0%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '62.0%'}
Townes-Brocks syndrome,{'Deletion': '12.0%', 'Duplication': '7.000000000000001%', 'Indel': '0.0%', 'Insertion': '8.0%', 'Single nucleotide': '73.0%'}
Hypokalemic periodic paralysis,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Cowden syndrome,{'Deletion': '9.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '80.0%'}
Bartter syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
Lamellar ichthyosis,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Treacher-Collins syndrome,{'Deletion': '19.0%', 'Duplication': '8.0%', 'Indel': '1.0%', 'Insertion': '10.0%', 'Single nucleotide': '63.0%'}
Acromegaly,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Isovaleric acidemia,{'Deletion': '9.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '87.0%'}
Dopa-responsive dystonia,{'Deletion': '7.000000000000001%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Pycnodysostosis,{'Deletion': '15.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '75.0%'}
Fanconi anemia,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Sotos syndrome,{'Deletion': '16.0%', 'Duplication': '8.0%', 'Indel': '1.0%', 'Insertion': '10.0%', 'Single nucleotide': '64.0%'}
Infant botulism,{'Deletion': '6.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '89.0%'}
Inclusion body myositis,{'Deletion': '17.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '83.0%'}
Epidermolysis bullosa simplex,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
GM1 gangliosidosis,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Myasthenia gravis,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '93.0%'}
Maple syrup urine disease,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '84.0%'}
Stickler syndrome,{'Deletion': '8.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Autoimmune hepatitis,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '81.0%'}
Chronic inflammatory demyelinating polyneuropathy,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '81.0%'}
Dermatitis herpetiformis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Rare urogenital tumor,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Pulmonary arterial hypertension,{'Deletion': '24.0%', 'Duplication': '7.000000000000001%', 'Indel': '1.0%', 'Insertion': '7.000000000000001%', 'Single nucleotide': '61.0%'}
MYH9-related disease,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '94.0%'}
Generalized pustular psoriasis,{'Deletion': '2.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '98.0%'}
Oligoastrocytic tumor,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '85.0%'}
Annular pancreas,{'Deletion': '12.0%', 'Duplication': '4.0%', 'Indel': '4.0%', 'Insertion': '4.0%', 'Single nucleotide': '76.0%'}
Mirror polydactyly-vertebral segmentation-limbs defects syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Idiopathic pulmonary arterial hypertension,{'Deletion': '35.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '56.99999999999999%'}
Herpes simplex virus encephalitis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,{'Deletion': '8.0%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Autoimmune pulmonary alveolar proteinosis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Burkitt lymphoma,{'Deletion': '15.0%', 'Duplication': '0.0%', 'Indel': '8.0%', 'Insertion': '8.0%', 'Single nucleotide': '69.0%'}
Hyperphenylalaninemia due to tetrahydrobiopterin deficiency,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Shwachman-Diamond syndrome,{'Deletion': '10.0%', 'Duplication': '0.0%', 'Indel': '2.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Mucopolysaccharidosis type 4A,{'Deletion': '10.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '86.0%'}
Carcinoma of the ampulla of Vater,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Homozygous familial hypercholesterolemia,{'Deletion': '12.0%', 'Duplication': '4.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '77.0%'}
Familial chylomicronemia syndrome,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '91.0%'}
Multiple system atrophy,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Pseudomyxoma peritonei,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Multiple acyl-CoA dehydrogenase deficiency,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Acute monoblastic/monocytic leukemia,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Desmoid tumor,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '94.0%'}
Medullary thyroid carcinoma,{'Deletion': '3.0%', 'Duplication': '2.0%', 'Indel': '1.0%', 'Insertion': '3.0%', 'Single nucleotide': '91.0%'}
Anaplastic thyroid carcinoma,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Congenital muscular dystrophy, Ullrich type,{'Deletion': '3.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '94.0%'}
X-linked dominant chondrodysplasia punctata,{'Deletion': '8.0%', 'Duplication': '8.0%', 'Indel': '4.0%', 'Insertion': '13.0%', 'Single nucleotide': '68.0%'}
Waldenstr�m macroglobulinemia,{'Deletion': '50.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '50.0%'}
Oligodendroglial tumor,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '92.0%'}
Juvenile neuronal ceroid lipofuscinosis,{'Deletion': '10.0%', 'Duplication': '5.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '79.0%'}
Sanfilippo syndrome type A,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Cloacal exstrophy,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Streptococcal toxic-shock syndrome,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Chronic granulomatous disease,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Adenocarcinoma of the small intestine,{'Deletion': '4.0%', 'Duplication': '1.0%', 'Indel': '1.0%', 'Insertion': '2.0%', 'Single nucleotide': '92.0%'}
Tay-Sachs disease,{'Deletion': '10.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '81.0%'}
Alkaptonuria,{'Deletion': '11.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '80.0%'}
Microscopic polyangiitis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Squamous cell carcinoma of the penis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Squamous cell carcinoma of the anal canal,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Adenocarcinoma of the esophagus,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '99.0%'}
Ataxia-telangiectasia,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '5.0%', 'Single nucleotide': '83.0%'}
Mucopolysaccharidosis type 1,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '84.0%'}
Wolfram syndrome,{'Deletion': '6.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '2.0%', 'Single nucleotide': '90.0%'}
Beta-mannosidosis,{'Deletion': '6.0%', 'Duplication': '6.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '83.0%'}
Van der Woude syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '6.0%', 'Single nucleotide': '83.0%'}
Idiopathic/heritable pulmonary arterial hypertension,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Larsen syndrome,{'Deletion': '7.000000000000001%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '92.0%'}
Stevens-Johnson syndrome/toxic epidermal necrolysis spectrum,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Niemann-Pick disease type C,{'Deletion': '7.000000000000001%', 'Duplication': '4.0%', 'Indel': '0.0%', 'Insertion': '6.0%', 'Single nucleotide': '83.0%'}
Mucopolysaccharidosis type 3,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '86.0%'}
Neuronal ceroid lipofuscinosis,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Gaucher disease,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '4.0%', 'Single nucleotide': '87.0%'}
Progressive supranuclear palsy,{'Deletion': '2.0%', 'Duplication': '1.0%', 'Indel': '0.0%', 'Insertion': '1.0%', 'Single nucleotide': '96.0%'}
Autosomal dominant epidermolytic ichthyosis,{'Deletion': '0.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '100.0%'}
Fuchs heterochromic iridocyclitis,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
Autosomal recessive congenital ichthyosis,{'Deletion': '5.0%', 'Duplication': '2.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '90.0%'}
Follicular lymphoma,{'Deletion': '21.0%', 'Duplication': '21.0%', 'Indel': '0.0%', 'Insertion': '21.0%', 'Single nucleotide': '36.0%'}
Acute promyelocytic leukemia,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Congenital syphilis,{'Deletion': '33.0%', 'Duplication': '0.0%', 'Indel': '0.0%', 'Insertion': '0.0%', 'Single nucleotide': '67.0%'}
Miyoshi myopathy,{'Deletion': '6.0%', 'Duplication': '3.0%', 'Indel': '0.0%', 'Insertion': '3.0%', 'Single nucleotide': '87.0%'}
Insulinoma,{'Deletion': '9.0%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '83.0%'}
Cutaneous neuroendocrine carcinoma,{'Deletion': '7.000000000000001%', 'Duplication': '3.0%', 'Indel': '1.0%', 'Insertion': '4.0%', 'Single nucleotide': '86.0%'}
Adrenocortical carcinoma,{'Deletion': '20.0%', 'Duplication': '6.0%', 'Indel': '1.0%', 'Insertion': '9.0%', 'Single nucleotide': '64.0%'}
Paget disease of the nipple,{'Deletion': 0, 'Duplication': 0, 'Indel': 0, 'Insertion': 0, 'Single nucleotide': 0}
